Question	Answer	ArticleFile

Was Alessandro Volta a professor of chemistry?	Alessandro Volta was not a professor of chemistry.	data/set4/a10

Was Alessandro Volta a professor of chemistry?	No	data/set4/a10

Did Alessandro Volta invent the remotely operated pistol?	Alessandro Volta did invent the remotely operated pistol.	data/set4/a10

Did Alessandro Volta invent the remotely operated pistol?	Yes	data/set4/a10

Was Alessandro Volta taught in public schools?	Volta was taught in public schools.	data/set4/a10

Was Alessandro Volta taught in public schools?	Yes	data/set4/a10

Who did Alessandro Volta marry?	Alessandro Volta married Teresa Peregrini.	data/set4/a10

Who did Alessandro Volta marry?	Teresa Peregrini	data/set4/a10

What did Alessandro Volta invent in 1800?	In 1800, Alessandro Volta invented the voltaic pile.	data/set4/a10

What did Alessandro Volta invent in 1800?	voltaic pile	data/set4/a10

What is the battery made by Alessandro Volta credited as?	The battery made by Volta is credited as the first electrochemical cell.	data/set4/a10

What is the battery made by Alessandro Volta credited as?	the first electrochemical cell	data/set4/a10

Did Alessandro Volta die and retire in the same place?	Alessandro Volta retired and died in the same place.	data/set4/a10

Did Alessandro Volta die and retire in the same place?	Yes	data/set4/a10

When did Alessandro Volta improve  and popularize the electrophorus?	Alessandro Volta improved and popularized the electrophorus in 1775.	data/set4/a10

When did Alessandro Volta improve  and popularize the electrophorus?	1775	data/set4/a10

How long was Alessandro Volta a professor at the University of Pavia?	Alessandro Volta was a professor at the University of Pavia for almost 25 years.	data/set4/a10

How long was Alessandro Volta a professor at the University of Pavia?	almost 25 years	data/set4/a10

Was Alessandro Volta an Egyptian?	no	data/set4/a10

Was Alessandro Volta an Egyptian?	No.	data/set4/a10

Was Volta taught in public schools?	yes	data/set4/a10

Was Volta taught in public schools?	Yes.	data/set4/a10

Was Volta made a count in 1810?	yes	data/set4/a10

Was Volta made a count in 1810?	No.	data/set4/a10

Who made Volta a count?	Napoleon	data/set4/a10

Who made Volta a count?	Napoleon	data/set4/a10

Where was Volta born?	Como	data/set4/a10

Where was Volta born?	Como, Italy	data/set4/a10

When did Volta retire?	1819	data/set4/a10

When did Volta retire?	In 1819.	data/set4/a10

A year before improving and popularizing the electrophorus, what did Volta become?	A professor of physics at the Royal School in Como	data/set4/a10

Was Volta buried where he died or was he buried someplace else?	where he died	data/set4/a10

Was Volta buried where he died or was he buried someplace else?	Yes.	data/set4/a10

Did Volta marry before he became professor of experimental physics at the University of Pavia?	no	data/set4/a10

Did Volta marry before he became professor of experimental physics at the University of Pavia?	No.	data/set4/a10

What happened in 1810?	Volta was made a count by Napoleon.	data/set4/a10

Wasn't Alessandro Volta born in Como?	Yes, Volta was born in Como, Italy and was taught in the public schools there.	data/set4/a10

Was Alessandro Volta born in Como?	yes	data/set4/a10

Who became a professor of physics at the Royal School in Como?	Volta.	data/set4/a10

When was Volta made a count by Napoleon?	Volta was made a count by Napoleon in 1810.	data/set4/a10

Is Voltas legacy celebrated by a Temple on the shore of Lake Como in the center of the town?	Yes	data/set4/a10

Is the battery made by Volta credited as the first electrochemical cell?	Yes	data/set4/a10

Was Volta made a count by Napoleon in 1810?	Yes, Volta was made a count by Napoleon in 1810.	data/set4/a10

In what year did he become a professor of physics at the Royal School in Como?	1774	data/set4/a10

Was Avogadro a  professor at the University of Turin?	Yes	data/set4/a8

Was Avogadro a  professor at the University of Turin?	Yes, Avogadro was a professor at the University of Turin.	data/set4/a8

Was he a member of the Royal Superior Council on Public Instruction?	Yes	data/set4/a8

Was he a member of the Royal Superior Council on Public Instruction?	Yes,  Avogadro was a member of the Royal Superior Council on Public Instruction.	data/set4/a8

Is Avogadro's number used to compute the results of chemical reactions?	Yes	data/set4/a8

Is Avogadro's number used to compute the results of chemical reactions?	Yes, Avagadro's number is used to compute the results of chemical reactions.	data/set4/a8

Who first calculated the value of Avogadro's number?	Johann Josef Loschmidt	data/set4/a8

Who first calculated the value of Avogadro's number?	Johann Josef Loschmidt first calculated the value of Avogadro's number.	data/set4/a8

What does Avogadro's Law state?	The relationship between the masses of the same volume of different gases (at the same temperature and pressure) corresponds to the relationship between their respective molecular weights	data/set4/a8

What does Avogadro's Law state?	Avogadro's Law states that the relationship between the masses of the same volume of different gases (at the same temperature and pressure) corresponds to the relationship between their respective molecular weights.	data/set4/a8

Who showed that Avogadro's theory held in dilute solutions?	Jacobus Henricus van Hoff	data/set4/a8

Who showed that Avogadro's theory held in dilute solutions?	Jacobus Henricus van 't Hoff showed that Avogadro's theory holds in dilute solutions.	data/set4/a8

In what language was his 1811 paper published?	French	data/set4/a8

In what language was his 1811 paper published?	Avogadro's 1811 paper was published in French.	data/set4/a8

Who was Avogadro's wife?	Felicita Mazz	data/set4/a8

Who was Avogadro's wife?	Felicita Mazzé was Avogadro's wife.	data/set4/a8

Why did Avogadro lose his chair at the University of Turin?	He was active in the revolutionary movements of 1821 against the king of Sardinia	data/set4/a8

Why did Avogadro lose his chair at the University of Turin?	Avogadro lost his chair at the University of Turin because he was active in the revolutionary movements of 1821 against the king of Sardinia.	data/set4/a8

Was Amedeo Avogadro was born in Turin?	Yes	data/set4/a8

Was Amedeo Avogadro was born in Turin?	yes	data/set4/a8

Is Avogadro hailed as a founder of the atomic-molecular theory?	Yes	data/set4/a8

Is Avogadro hailed as a founder of the atomic-molecular theory?	yes	data/set4/a8

Did Johann Josef Loschmidt first calculate the value of Avogadro's number?	Yes	data/set4/a8

Did Johann Josef Loschmidt first calculate the value of Avogadro's number?	yes	data/set4/a8

In 1820, Avogadro became a professor of physics where?	University of Turin	data/set4/a8

In 1820, Avogadro became a professor of physics where?	University of Turin	data/set4/a8

